ayah_key,surah_number,ayah_number,script_type,display_text,source_name,source_reference,source_checksum,audit_status,source_match_status,review_status
1:1,1,1,UTHMANI,"بِسْمِ ٱللَّهِ ٱلرَّحْمَـٰنِ ٱلرَّحِيمِ","Tanzil Uthmani XML",sourcedata/1/quran-uthmani.xml,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"structurally present",unavailable,"needs human review"
1:1,1,1,INDOPAK,"بِسْمِ اللّٰهِ الرَّحْمٰنِ الرَّحِيْمِ ۝","Tanzil Simple Clean XML",sourcedata/2/quran-simple-clean.xml,140787b7c399b11d54bfa72c237075916084232efa8a4cddf704cc8a2a74b1fe,"structurally present",unavailable,"needs human review"
1:2,1,2,UTHMANI,"ٱلْحَمْدُ لِلَّهِ رَبِّ ٱلْعَـٰلَمِينَ","Tanzil Uthmani XML",sourcedata/1/quran-uthmani.xml,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"structurally present",unavailable,"needs human review"
1:2,1,2,INDOPAK,"اَلْحَمْدُ لِلّٰهِ رَبِّ الْعٰلَمِيْنَ ۝١ۙ","Tanzil Simple Clean XML",sourcedata/2/quran-simple-clean.xml,140787b7c399b11d54bfa72c237075916084232efa8a4cddf704cc8a2a74b1fe,"structurally present",unavailable,"needs human review"
1:3,1,3,UTHMANI,"ٱلرَّحْمَـٰنِ ٱلرَّحِيمِ","Tanzil Uthmani XML",sourcedata/1/quran-uthmani.xml,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"structurally present",unavailable,"needs human review"
1:3,1,3,INDOPAK,"الرَّحْمٰنِ الرَّحِيْمِ ۝٢ۙ","Tanzil Simple Clean XML",sourcedata/2/quran-simple-clean.xml,140787b7c399b11d54bfa72c237075916084232efa8a4cddf704cc8a2a74b1fe,"structurally present",unavailable,"needs human review"
1:4,1,4,UTHMANI,"مَـٰلِكِ يَوْمِ ٱلدِّينِ","Tanzil Uthmani XML",sourcedata/1/quran-uthmani.xml,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"structurally present",unavailable,"needs human review"
1:4,1,4,INDOPAK,"مٰلِكِ يَوْمِ الدِّيْنِ ۝٣ؕ","Tanzil Simple Clean XML",sourcedata/2/quran-simple-clean.xml,140787b7c399b11d54bfa72c237075916084232efa8a4cddf704cc8a2a74b1fe,"structurally present",unavailable,"needs human review"
1:5,1,5,UTHMANI,"إِيَّاكَ نَعْبُدُ وَإِيَّاكَ نَسْتَعِينُ","Tanzil Uthmani XML",sourcedata/1/quran-uthmani.xml,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"structurally present",unavailable,"needs human review"
1:5,1,5,INDOPAK,"اِيَّاكَ نَعْبُدُ وَاِيَّاكَ نَسْتَعِيْنُ ۝٤ؕ","Tanzil Simple Clean XML",sourcedata/2/quran-simple-clean.xml,140787b7c399b11d54bfa72c237075916084232efa8a4cddf704cc8a2a74b1fe,"structurally present",unavailable,"needs human review"
1:6,1,6,UTHMANI,"ٱهْدِنَا ٱلصِّرَٰطَ ٱلْمُسْتَقِيمَ","Tanzil Uthmani XML",sourcedata/1/quran-uthmani.xml,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"structurally present",unavailable,"needs human review"
1:6,1,6,INDOPAK,"اِهْدِنَا الصِّرَاطَ الْمُسْتَقِيْمَ ۝٥ۙ","Tanzil Simple Clean XML",sourcedata/2/quran-simple-clean.xml,140787b7c399b11d54bfa72c237075916084232efa8a4cddf704cc8a2a74b1fe,"structurally present",unavailable,"needs human review"
1:7,1,7,UTHMANI,"صِرَٰطَ ٱلَّذِينَ أَنْعَمْتَ عَلَيْهِمْ غَيْرِ ٱلْمَغْضُوبِ عَلَيْهِمْ وَلَا ٱلضَّآلِّينَ","Tanzil Uthmani XML",sourcedata/1/quran-uthmani.xml,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"structurally present",unavailable,"needs human review"
1:7,1,7,INDOPAK,"صِرَاطَ الَّذِيْنَ اَنْعَمْتَ عَلَيْهِمْ‮٦࣢ۙ غَيْرِ الْمَغْضُوْبِ عَلَيْهِمْ وَلَا الضَّا࢜لِّيْنَ ۝٧ࣖ","Tanzil Simple Clean XML",sourcedata/2/quran-simple-clean.xml,140787b7c399b11d54bfa72c237075916084232efa8a4cddf704cc8a2a74b1fe,"structurally present",unavailable,"needs human review"
