ayah_key,script_type,display_text,exact_source_match,needs_human_review,notes
1:1,UTHMANI,"بِسْمِ ٱللَّهِ ٱلرَّحْمَـٰنِ ٱلرَّحِيمِ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
1:1,INDOPAK,"بِسْمِ اللّٰهِ الرَّحْمٰنِ الرَّحِيْمِ ۝",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
1:2,UTHMANI,"ٱلْحَمْدُ لِلَّهِ رَبِّ ٱلْعَـٰلَمِينَ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
1:2,INDOPAK,"اَلْحَمْدُ لِلّٰهِ رَبِّ الْعٰلَمِيْنَ ۝١ۙ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
1:3,UTHMANI,"ٱلرَّحْمَـٰنِ ٱلرَّحِيمِ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
1:3,INDOPAK,"الرَّحْمٰنِ الرَّحِيْمِ ۝٢ۙ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
1:4,UTHMANI,"مَـٰلِكِ يَوْمِ ٱلدِّينِ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
1:4,INDOPAK,"مٰلِكِ يَوْمِ الدِّيْنِ ۝٣ؕ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
1:5,UTHMANI,"إِيَّاكَ نَعْبُدُ وَإِيَّاكَ نَسْتَعِينُ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
1:5,INDOPAK,"اِيَّاكَ نَعْبُدُ وَاِيَّاكَ نَسْتَعِيْنُ ۝٤ؕ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
1:6,UTHMANI,"ٱهْدِنَا ٱلصِّرَٰطَ ٱلْمُسْتَقِيمَ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
1:6,INDOPAK,"اِهْدِنَا الصِّرَاطَ الْمُسْتَقِيْمَ ۝٥ۙ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
1:7,UTHMANI,"صِرَٰطَ ٱلَّذِينَ أَنْعَمْتَ عَلَيْهِمْ غَيْرِ ٱلْمَغْضُوبِ عَلَيْهِمْ وَلَا ٱلضَّآلِّينَ",unavailable,yes,"Raw source/staging files unavailable for exact source-to-DB comparison"
