ayahKey,surahNumber,ayahNumber,surahNameSimple,scriptType,displayText,sourceName,sourceReference,sourceChecksum,reviewerDecision,reviewerNotes
1:1,1,1,Al-Fatihah,INDOPAK,"بِسْمِ اللّٰهِ الرَّحْمٰنِ الرَّحِيْمِ ۝","Tanzil Simple Clean XML",https://tanzil.net/download/,140787b7c399b11d54bfa72c237075916084232efa8a4cddf704cc8a2a74b1fe,"",""
1:2,1,2,Al-Fatihah,INDOPAK,"اَلْحَمْدُ لِلّٰهِ رَبِّ الْعٰلَمِيْنَ ۝١ۙ","Tanzil Simple Clean XML",https://tanzil.net/download/,140787b7c399b11d54bfa72c237075916084232efa8a4cddf704cc8a2a74b1fe,"",""
1:3,1,3,Al-Fatihah,INDOPAK,"الرَّحْمٰنِ الرَّحِيْمِ ۝٢ۙ","Tanzil Simple Clean XML",https://tanzil.net/download/,140787b7c399b11d54bfa72c237075916084232efa8a4cddf704cc8a2a74b1fe,"",""
1:4,1,4,Al-Fatihah,INDOPAK,"مٰلِكِ يَوْمِ الدِّيْنِ ۝٣ؕ","Tanzil Simple Clean XML",https://tanzil.net/download/,140787b7c399b11d54bfa72c237075916084232efa8a4cddf704cc8a2a74b1fe,"",""
1:5,1,5,Al-Fatihah,INDOPAK,"اِيَّاكَ نَعْبُدُ وَاِيَّاكَ نَسْتَعِيْنُ ۝٤ؕ","Tanzil Simple Clean XML",https://tanzil.net/download/,140787b7c399b11d54bfa72c237075916084232efa8a4cddf704cc8a2a74b1fe,"",""
1:6,1,6,Al-Fatihah,INDOPAK,"اِهْدِنَا الصِّرَاطَ الْمُسْتَقِيْمَ ۝٥ۙ","Tanzil Simple Clean XML",https://tanzil.net/download/,140787b7c399b11d54bfa72c237075916084232efa8a4cddf704cc8a2a74b1fe,"",""
1:7,1,7,Al-Fatihah,INDOPAK,"صِرَاطَ الَّذِيْنَ اَنْعَمْتَ عَلَيْهِمْ‮٦࣢ۙ غَيْرِ الْمَغْضُوْبِ عَلَيْهِمْ وَلَا الضَّا࢜لِّيْنَ ۝٧ࣖ","Tanzil Simple Clean XML",https://tanzil.net/download/,140787b7c399b11d54bfa72c237075916084232efa8a4cddf704cc8a2a74b1fe,"",""
2:1,2,1,Al-Baqarah,INDOPAK,"ال࢜مّ࢜ ۝١ۚ","Tanzil Simple Clean XML",https://tanzil.net/download/,140787b7c399b11d54bfa72c237075916084232efa8a4cddf704cc8a2a74b1fe,"",""
2:2,2,2,Al-Baqarah,INDOPAK,"ذٰلِكَ الْكِتٰبُ لَا رَيْبَۚۖۛ فِيْهِۚۛ هُدًي لِّلْمُتَّقِيْنَ ۝٢ۙ","Tanzil Simple Clean XML",https://tanzil.net/download/,140787b7c399b11d54bfa72c237075916084232efa8a4cddf704cc8a2a74b1fe,"",""
2:3,2,3,Al-Baqarah,INDOPAK,"الَّذِيْنَ يُو͏ٔ͏ْمِنُوْنَ بِالْغَيْبِ وَيُقِيْمُوْنَ الصَّلٰوةَ وَمِمَّا رَزَقْنٰهُمْ يُنْفِقُوْنَ ۝٣ۙ","Tanzil Simple Clean XML",https://tanzil.net/download/,140787b7c399b11d54bfa72c237075916084232efa8a4cddf704cc8a2a74b1fe,"",""
2:4,2,4,Al-Baqarah,INDOPAK,"وَالَّذِيْنَ يُو͏ٔ͏ْمِنُوْنَ بِمَا͏ٓ اُنْزِلَ اِلَيْكَ وَمَا͏ٓ اُنْزِلَ مِنْ قَبْلِكَۚ وَبِالْاٰخِرَةِ هُمْ يُوْقِنُوْنَ ۝٤ؕ","Tanzil Simple Clean XML",https://tanzil.net/download/,140787b7c399b11d54bfa72c237075916084232efa8a4cddf704cc8a2a74b1fe,"",""
2:5,2,5,Al-Baqarah,INDOPAK,"اُولٰ࢜ىِٕكَ عَلٰي هُدًي مِّنْ رَّبِّهِمْࣗ وَاُولٰ࢜ىِٕكَ هُمُ الْمُفْلِحُوْنَ ۝٥","Tanzil Simple Clean XML",https://tanzil.net/download/,140787b7c399b11d54bfa72c237075916084232efa8a4cddf704cc8a2a74b1fe,"",""
2:255,2,255,Al-Baqarah,INDOPAK,"اَللّٰهُ لَا͏ٓ اِلٰهَ اِلَّا هُوَۚ اَلْحَيُّ الْقَيُّوْمُ࣢ۚ لَا تَاْخُذُهٗ سِنَةٌ وَّلَا نَوْمٌؕ لَهٗ مَا فِي السَّمٰوٰتِ وَمَا فِي الْاَرْضِؕ مَنْ ذَا الَّذِيْ يَشْفَعُ عِنْدَهٗٓ اِلَّا بِاِذْنِهٖؕ يَعْلَمُ مَا بَيْنَ اَيْدِيْهِمْ وَمَا خَلْفَهُمْۚ وَلَا يُحِيْطُوْنَ بِشَيْءٍ مِّنْ عِلْمِهٖٓ اِلَّا بِمَا شَا࢜ءَۚ وَسِعَ كُرْسِيُّهُ السَّمٰوٰتِ وَالْاَرْضَۚ وَلَا يَـُٔوْدُهٗ حِفْظُهُمَاۚ وَهُوَ الْعَلِيُّ الْعَظِيْمُ ۝٢٥٥","Tanzil Simple Clean XML",https://tanzil.net/download/,140787b7c399b11d54bfa72c237075916084232efa8a4cddf704cc8a2a74b1fe,"",""
3:18,3,18,"Ali 'Imran",INDOPAK,"شَهِدَ اللّٰهُ اَنَّهٗ لَا͏ٓ اِلٰهَ اِلَّا هُوَۙ وَالْمَلٰ࢜ىِٕكَةُ وَاُولُوا الْعِلْمِ قَا࢜ىِٕمًاۢ بِالْقِسْطِؕ لَا͏ٓ اِلٰهَ اِلَّا هُوَ الْعَزِيْزُ الْحَكِيْمُ ۝١٨ؕ","Tanzil Simple Clean XML",https://tanzil.net/download/,140787b7c399b11d54bfa72c237075916084232efa8a4cddf704cc8a2a74b1fe,"",""
