ayahKey,surahNumber,ayahNumber,surahNameSimple,scriptType,displayText,sourceName,sourceReference,sourceChecksum,reviewerDecision,reviewerNotes
1:1,1,1,Al-Fatihah,UTHMANI,"بِسْمِ ٱللَّهِ ٱلرَّحْمَـٰنِ ٱلرَّحِيمِ","Tanzil Uthmani XML",https://tanzil.net/download/,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"",""
1:2,1,2,Al-Fatihah,UTHMANI,"ٱلْحَمْدُ لِلَّهِ رَبِّ ٱلْعَـٰلَمِينَ","Tanzil Uthmani XML",https://tanzil.net/download/,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"",""
1:3,1,3,Al-Fatihah,UTHMANI,"ٱلرَّحْمَـٰنِ ٱلرَّحِيمِ","Tanzil Uthmani XML",https://tanzil.net/download/,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"",""
1:4,1,4,Al-Fatihah,UTHMANI,"مَـٰلِكِ يَوْمِ ٱلدِّينِ","Tanzil Uthmani XML",https://tanzil.net/download/,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"",""
1:5,1,5,Al-Fatihah,UTHMANI,"إِيَّاكَ نَعْبُدُ وَإِيَّاكَ نَسْتَعِينُ","Tanzil Uthmani XML",https://tanzil.net/download/,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"",""
1:6,1,6,Al-Fatihah,UTHMANI,"ٱهْدِنَا ٱلصِّرَٰطَ ٱلْمُسْتَقِيمَ","Tanzil Uthmani XML",https://tanzil.net/download/,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"",""
1:7,1,7,Al-Fatihah,UTHMANI,"صِرَٰطَ ٱلَّذِينَ أَنْعَمْتَ عَلَيْهِمْ غَيْرِ ٱلْمَغْضُوبِ عَلَيْهِمْ وَلَا ٱلضَّآلِّينَ","Tanzil Uthmani XML",https://tanzil.net/download/,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"",""
2:1,2,1,Al-Baqarah,UTHMANI,"الٓمٓ","Tanzil Uthmani XML",https://tanzil.net/download/,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"",""
2:2,2,2,Al-Baqarah,UTHMANI,"ذَٰلِكَ ٱلْكِتَـٰبُ لَا رَيْبَ ۛ فِيهِ ۛ هُدًى لِّلْمُتَّقِينَ","Tanzil Uthmani XML",https://tanzil.net/download/,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"",""
2:3,2,3,Al-Baqarah,UTHMANI,"ٱلَّذِينَ يُؤْمِنُونَ بِٱلْغَيْبِ وَيُقِيمُونَ ٱلصَّلَوٰةَ وَمِمَّا رَزَقْنَـٰهُمْ يُنفِقُونَ","Tanzil Uthmani XML",https://tanzil.net/download/,8c5aeae20363a98f6963720d29fce040ca8b56a8e75f8b564c257fce7f6d0417,"",""
